承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
620676357,アルファカルシドールカプセル０．５μｇ「ＮＩＧ」,アルファカルシドールカプセル０．５μｇ,アルファカルシドールカプセル０．５ΜＧ,,,False
620676806,アルファカルシドールカプセル１μｇ「サワイ」,アルファカルシドールカプセル１μｇ,アルファカルシドールカプセル１ΜＧ,,,False
620676815,アルファカルシドールカプセル１μｇ「トーワ」,アルファカルシドールカプセル１μｇ,アルファカルシドールカプセル１ΜＧ,,,False
620676819,アルファカルシドールカプセル１．０μｇ「フソー」　１μｇ,アルファカルシドールカプセル１μｇ,アルファカルシドールカプセル１ΜＧ,,,False
620676845,アルファカルシドールカプセル１．０μｇ「ＢＭＤ」　１μｇ,アルファカルシドールカプセル１μｇ,アルファカルシドールカプセル１ΜＧ,,,False
620676857,アルファカルシドールカプセル１μｇ「ＮＩＧ」,アルファカルシドールカプセル１μｇ,アルファカルシドールカプセル１ΜＧ,,,False
620678104,カルシトリオールカプセル０．２５μｇ「サワイ」,カルシトリオールカプセル０．２５μｇ,カルシトリオールカプセル０．２５ΜＧ,,,False
620678130,カルシトリオールカプセル０．２５μｇ「ＹＤ」,カルシトリオールカプセル０．２５μｇ,カルシトリオールカプセル０．２５ΜＧ,,,False
620678141,カルシトリオールカプセル０．２５μｇ「ＮＩＧ」,カルシトリオールカプセル０．２５μｇ,カルシトリオールカプセル０．２５ΜＧ,,,False
620678704,カルシトリオールカプセル０．５μｇ「サワイ」,カルシトリオールカプセル０．５μｇ,カルシトリオールカプセル０．５ΜＧ,,,False
620678729,カルシトリオールカプセル０．５μｇ「ＹＤ」,カルシトリオールカプセル０．５μｇ,カルシトリオールカプセル０．５ΜＧ,,,False
