承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
610406079,ガスター散２％,ファモチジン散２％,ファモチジン散２％,FAMOTIDINE,DB00927,True
610406193,テンマ末,ﾃﾝﾏﾏﾂ,ﾃﾝﾏﾏﾂ,,,False
610406227,花扇加工ブシ末Ｋ,ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK,ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK,,,False
610406231,バリトゲンＨＤ　９８．６％,ﾊﾞﾘﾄｹﾞﾝHD,ﾊﾞﾘﾄｹﾞﾝHD,,,False
610406232,バリトップＨＤ　９９％,ﾊﾞﾘﾄｯﾌﾟHD,ﾊﾞﾘﾄｯﾌﾟHD,,,False
610406378,ＭＳコンチン錠６０ｍｇ,MSｺﾝﾁﾝ,MSｺﾝﾁﾝ,,,False
610406382,オステラック錠１００　１００ｍｇ,エトドラク錠１００ｍｇ,エトドラク錠１００ＭＧ,,,False
610406383,オステラック錠２００　２００ｍｇ,エトドラク錠２００ｍｇ,エトドラク錠２００ＭＧ,,,False
610406385,セロシオンカプセル１０　１０ｍｇ,ｾﾛｼｵﾝ,ｾﾛｼｵﾝ,,,False
610406386,ゾビラックス顆粒４０％,アシクロビル顆粒４０％,アシクロビル顆粒４０％,ACYCLOVIR,DB00787,True
610406387,ハイペン錠１００ｍｇ,エトドラク錠１００ｍｇ,エトドラク錠１００ＭＧ,,,False
610406388,ハイペン錠２００ｍｇ,エトドラク錠２００ｍｇ,エトドラク錠２００ＭＧ,,,False
610406389,プロマック顆粒１５％,ポラプレジンク顆粒１５％,ポラプレジンク顆粒１５％,,,False
610406390,ベイスン錠０．２　０．２ｍｇ,ボグリボース錠０．２ｍｇ,ボグリボース錠０．２ＭＧ,,,False
610406391,ベイスン錠０．３　０．３ｍｇ,ボグリボース錠０．３ｍｇ,ボグリボース錠０．３ＭＧ,,,False
610406392,ペルマックス錠５０μｇ,ペルゴリドメシル酸塩錠５０μｇ,ペルゴリドメシル酸塩錠５０ΜＧ,,,False
610406393,ペルマックス錠２５０μｇ,ペルゴリドメシル酸塩錠２５０μｇ,ペルゴリドメシル酸塩錠２５０ΜＧ,,,False
610406394,メタライト２５０カプセル　２５０ｍｇ,ﾒﾀﾗｲﾄ250,ﾒﾀﾗｲﾄ250,,,False
610406398,ピメノールカプセル５０ｍｇ,ﾋﾟﾒﾉｰﾙ,ﾋﾟﾒﾉｰﾙ,,,False
610406399,ピメノールカプセル１００ｍｇ,ﾋﾟﾒﾉｰﾙ,ﾋﾟﾒﾉｰﾙ,,,False
610406401,アレギサール錠５ｍｇ,ペミロラストＫ錠５ｍｇ,ペミロラストＫ錠５ＭＧ,,,False
610406402,インフリーＳカプセル２００ｍｇ,ｲﾝﾌﾘｰS,ｲﾝﾌﾘｰS,,,False
610406406,ペミラストン錠５ｍｇ,ペミロラストＫ錠５ｍｇ,ペミロラストＫ錠５ＭＧ,,,False
610406407,ユニコン錠２００　２００ｍｇ,テオフィリン徐放錠２００ｍｇ（２４時間持続）,テオフィリン徐放錠２００ＭＧ,THEOPHYLLINE,DB00277,True
610406408,ユニコン錠４００　４００ｍｇ,テオフィリン徐放錠４００ｍｇ（２４時間持続）,テオフィリン徐放錠４００ＭＧ,THEOPHYLLINE,DB00277,True
610407001,アイピーディカプセル５０　５０ｍｇ,ｱｲﾋﾟｰﾃﾞｨ,ｱｲﾋﾟｰﾃﾞｨ,,,False
610407002,アイピーディカプセル１００　１００ｍｇ,ｱｲﾋﾟｰﾃﾞｨ,ｱｲﾋﾟｰﾃﾞｨ,,,False
610407003,スプレンジール錠２．５ｍｇ,フェロジピン錠２．５ｍｇ,フェロジピン錠２．５ＭＧ,,,False
610407004,スプレンジール錠５ｍｇ,フェロジピン錠５ｍｇ,フェロジピン錠５ＭＧ,,,False
610407005,デタントールＲ錠３ｍｇ,ﾃﾞﾀﾝﾄｰﾙR,ﾃﾞﾀﾝﾄｰﾙR,,,False
610407006,デタントールＲ錠６ｍｇ,ﾃﾞﾀﾝﾄｰﾙR,ﾃﾞﾀﾝﾄｰﾙR,,,False
610407019,カルバン錠２５　２５ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407020,カルバン錠５０　５０ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407021,カルバン錠１００　１００ｍｇ,ｶﾙﾊﾞﾝ,ｶﾙﾊﾞﾝ,,,False
610407022,フェアストン錠４０　４０ｍｇ,トレミフェン錠４０ｍｇ,トレミフェン錠４０ＭＧ,,,False
610407025,エンシュア・Ｈ,ｴﾝｼｭｱH,ｴﾝｼｭｱH,,,False
610407028,ベザトールＳＲ錠１００ｍｇ,ベザフィブラート徐放錠１００ｍｇ,ベザフィブラート徐放錠１００ＭＧ,,,False
610407112,本草加工ブシ末,ﾎﾝｿﾞｳｶｺｳﾌﾞｼﾏﾂ,ﾎﾝｿﾞｳｶｺｳﾌﾞｼﾏﾂ,,,False
610407122,メチルテストステロン錠　１０ｍｇ,ﾒﾁﾙﾃｽﾄｽﾃﾛﾝ,ﾒﾁﾙﾃｽﾄｽﾃﾛﾝ,,,False
610407139,カイトリル錠１ｍｇ,ｶｲﾄﾘﾙ,ｶｲﾄﾘﾙ,,,False
610407140,ガナトン錠５０ｍｇ,イトプリド塩酸塩錠５０ｍｇ,イトプリド塩酸塩錠５０ＭＧ,,,False
610407141,グラケーカプセル１５ｍｇ,メナテトレノンカプセル１５ｍｇ,メナテトレノンカプセル１５ＭＧ,,,False
610407147,アテレック錠５　５ｍｇ,シルニジピン錠５ｍｇ,シルニジピン錠５ＭＧ,,,False
610407148,アテレック錠１０　１０ｍｇ,シルニジピン錠１０ｍｇ,シルニジピン錠１０ＭＧ,,,False
610407158,バレオン錠２００ｍｇ,ﾊﾞﾚｵﾝ,ﾊﾞﾚｵﾝ,,,False
610407332,トチモトのトチュウ,ﾄﾁﾓﾄﾉﾄﾁｭｳ,ﾄﾁﾓﾄﾉﾄﾁｭｳ,,,False
610407333,トチモトのバクガ（麦芽）,ﾄﾁﾓﾄﾉﾊﾞｸｶﾞﾊﾞｸｶﾞ,ﾄﾁﾓﾄﾉﾊﾞｸｶﾞﾊﾞｸｶﾞ,,,False
610407429,ボンゾール錠１００ｍｇ,ﾎﾞﾝｿﾞｰﾙ,ﾎﾞﾝｿﾞｰﾙ,,,False
610407430,ボンゾール錠２００ｍｇ,ﾎﾞﾝｿﾞｰﾙ,ﾎﾞﾝｿﾞｰﾙ,,,False
610407447,ムコダイン錠５００ｍｇ,ﾑｺﾀﾞｲﾝ,ﾑｺﾀﾞｲﾝ,,,False
610408002,ｌ−メントール「コザカイ・Ｍ」,L-ﾒﾝﾄｰﾙｺｻﾞｶｲM,L-ﾒﾝﾄｰﾙｺｻﾞｶｲM,,,False
610408026,ウチダのアセンヤク末Ｍ,ｳﾁﾀﾞﾉｱｾﾝﾔｸﾏﾂM,ｳﾁﾀﾞﾉｱｾﾝﾔｸﾏﾂM,,,False
610408027,ウチダのアマチャＭ,ｳﾁﾀﾞﾉｱﾏﾁｬM,ｳﾁﾀﾞﾉｱﾏﾁｬM,,,False
610408028,ウチダのアマチャ末Ｍ,ｳﾁﾀﾞﾉｱﾏﾁｬﾏﾂM,ｳﾁﾀﾞﾉｱﾏﾁｬﾏﾂM,,,False
610408029,ウチダのアロエ末Ｍ,ｳﾁﾀﾞﾉｱﾛｴﾏﾂM,ｳﾁﾀﾞﾉｱﾛｴﾏﾂM,,,False
610408030,ウチダのウイキョウＭ,ｳﾁﾀﾞﾉｳｲｷｮｳM,ｳﾁﾀﾞﾉｳｲｷｮｳM,,,False
610408031,ウチダのウワウルシＭ,ｳﾁﾀﾞﾉｳﾜｳﾙｼM,ｳﾁﾀﾞﾉｳﾜｳﾙｼM,,,False
610408032,ウチダのエイジツＭ,ｳﾁﾀﾞﾉｴｲｼﾞﾂM,ｳﾁﾀﾞﾉｴｲｼﾞﾂM,,,False
610408033,ウチダのエイジツ末Ｍ,ｳﾁﾀﾞﾉｴｲｼﾞﾂﾏﾂM,ｳﾁﾀﾞﾉｴｲｼﾞﾂﾏﾂM,,,False
610408034,ウチダのエンゴサクＭ,ｳﾁﾀﾞﾉｴﾝｺﾞｻｸM,ｳﾁﾀﾞﾉｴﾝｺﾞｻｸM,,,False
610408035,ウチダのオウレンＭ,ｳﾁﾀﾞﾉｵｳﾚﾝM,ｳﾁﾀﾞﾉｵｳﾚﾝM,,,False
610408036,ウチダのオウレン末Ｍ,ｳﾁﾀﾞﾉｵｳﾚﾝﾏﾂM,ｳﾁﾀﾞﾉｵｳﾚﾝﾏﾂM,,,False
610408037,ウチダのオウギＭ,ｳﾁﾀﾞﾉｵｳｷﾞM,ｳﾁﾀﾞﾉｵｳｷﾞM,,,False
610408038,ウチダのオウゴンＭ,ｳﾁﾀﾞﾉｵｳｺﾞﾝM,ｳﾁﾀﾞﾉｵｳｺﾞﾝM,,,False
610408039,ウチダのオウゴン末Ｍ,ｳﾁﾀﾞﾉｵｳｺﾞﾝﾏﾂM,ｳﾁﾀﾞﾉｵｳｺﾞﾝﾏﾂM,,,False
610408040,ウチダのオウバクＭ,ｳﾁﾀﾞﾉｵｳﾊﾞｸM,ｳﾁﾀﾞﾉｵｳﾊﾞｸM,,,False
610408041,ウチダのオウバク末Ｍ,ｳﾁﾀﾞﾉｵｳﾊﾞｸﾏﾂM,ｳﾁﾀﾞﾉｵｳﾊﾞｸﾏﾂM,,,False
610408042,ウチダのオンジＭ,ｳﾁﾀﾞﾉｵﾝｼﾞM,ｳﾁﾀﾞﾉｵﾝｼﾞM,,,False
610408043,ウチダのオンジ末Ｍ,ｳﾁﾀﾞﾉｵﾝｼﾞﾏﾂM,ｳﾁﾀﾞﾉｵﾝｼﾞﾏﾂM,,,False
610408044,ウチダのカッコンＭ,ｳﾁﾀﾞﾉｶｯｺﾝM,ｳﾁﾀﾞﾉｶｯｺﾝM,,,False
610408045,ウチダのカノコソウＭ,ｳﾁﾀﾞﾉｶﾉｺｿｳM,ｳﾁﾀﾞﾉｶﾉｺｿｳM,,,False
610408046,ウチダのカノコソウ末Ｍ,ｳﾁﾀﾞﾉｶﾉｺｿｳﾏﾂM,ｳﾁﾀﾞﾉｶﾉｺｿｳﾏﾂM,,,False
610408047,ウチダのカロコンＭ,ｳﾁﾀﾞﾉｶﾛｺﾝM,ｳﾁﾀﾞﾉｶﾛｺﾝM,,,False
610408048,ウチダのカンゾウＭ,ｳﾁﾀﾞﾉｶﾝｿﾞｳM,ｳﾁﾀﾞﾉｶﾝｿﾞｳM,,,False
610408050,ウチダのカンゾウ末Ｍ,ｳﾁﾀﾞﾉｶﾝｿﾞｳﾏﾂM,ｳﾁﾀﾞﾉｶﾝｿﾞｳﾏﾂM,,,False
610408051,ウチダのカゴソウＭ,ｳﾁﾀﾞﾉｶｺﾞｿｳM,ｳﾁﾀﾞﾉｶｺﾞｿｳM,,,False
610408052,ウチダのキョウニンＭ,ｳﾁﾀﾞﾉｷｮｳﾆﾝM,ｳﾁﾀﾞﾉｷｮｳﾆﾝM,,,False
610408053,ウチダのキキョウＭ,ｳﾁﾀﾞﾉｷｷｮｳM,ｳﾁﾀﾞﾉｷｷｮｳM,,,False
610408054,ウチダのキキョウ末Ｍ,ｳﾁﾀﾞﾉｷｷｮｳﾏﾂM,ｳﾁﾀﾞﾉｷｷｮｳﾏﾂM,,,False
610408055,ウチダのキササゲＭ,ｳﾁﾀﾞﾉｷｻｻｹﾞM,ｳﾁﾀﾞﾉｷｻｻｹﾞM,,,False
610408056,ウチダのキジツＭ,ｳﾁﾀﾞﾉｷｼﾞﾂM,ｳﾁﾀﾞﾉｷｼﾞﾂM,,,False
610408057,ウチダのクジンＭ,ｳﾁﾀﾞﾉｸｼﾞﾝM,ｳﾁﾀﾞﾉｸｼﾞﾝM,,,False
610408058,ウチダのクジン末Ｍ,ｳﾁﾀﾞﾉｸｼﾞﾝﾏﾂM,ｳﾁﾀﾞﾉｸｼﾞﾝﾏﾂM,,,False
610408059,ウチダのケイヒＭ,ｳﾁﾀﾞﾉｹｲﾋM,ｳﾁﾀﾞﾉｹｲﾋM,,,False
610408060,ウチダのケイヒ末Ｍ,ｳﾁﾀﾞﾉｹｲﾋﾏﾂM,ｳﾁﾀﾞﾉｹｲﾋﾏﾂM,,,False
610408061,ウチダのケイガイＭ,ｳﾁﾀﾞﾉｹｲｶﾞｲM,ｳﾁﾀﾞﾉｹｲｶﾞｲM,,,False
610408062,ウチダのケツメイシＭ,ｳﾁﾀﾞﾉｹﾂﾒｲｼM,ｳﾁﾀﾞﾉｹﾂﾒｲｼM,,,False
610408063,ウチダのケンゴシＭ,ｳﾁﾀﾞﾉｹﾝｺﾞｼM,ｳﾁﾀﾞﾉｹﾝｺﾞｼM,,,False
610408064,ウチダのコウカＭ,ｳﾁﾀﾞﾉｺｳｶM,ｳﾁﾀﾞﾉｺｳｶM,,,False
610408065,ウチダのコウジンＭ,ｳﾁﾀﾞﾉｺｳｼﾞﾝM,ｳﾁﾀﾞﾉｺｳｼﾞﾝM,,,False
610408066,ウチダのコウブシＭ,ｳﾁﾀﾞﾉｺｳﾌﾞｼM,ｳﾁﾀﾞﾉｺｳﾌﾞｼM,,,False
610408067,ウチダのコウブシ末Ｍ,ｳﾁﾀﾞﾉｺｳﾌﾞｼﾏﾂM,ｳﾁﾀﾞﾉｺｳﾌﾞｼﾏﾂM,,,False
610408068,ウチダのコウベイＭ,ｳﾁﾀﾞﾉｺｳﾍﾞｲM,ｳﾁﾀﾞﾉｺｳﾍﾞｲM,,,False
610408069,ウチダのコウボクＭ,ｳﾁﾀﾞﾉｺｳﾎﾞｸM,ｳﾁﾀﾞﾉｺｳﾎﾞｸM,,,False
610408070,ウチダのコウボク末Ｍ,ｳﾁﾀﾞﾉｺｳﾎﾞｸﾏﾂM,ｳﾁﾀﾞﾉｺｳﾎﾞｸﾏﾂM,,,False
610408071,ウチダのコロンボＭ,ｳﾁﾀﾞﾉｺﾛﾝﾎﾞM,ｳﾁﾀﾞﾉｺﾛﾝﾎﾞM,,,False
610408072,ウチダのコロンボ末Ｍ,ｳﾁﾀﾞﾉｺﾛﾝﾎﾞﾏﾂM,ｳﾁﾀﾞﾉｺﾛﾝﾎﾞﾏﾂM,,,False
610408073,ウチダのサイコＭ,ｳﾁﾀﾞﾉｻｲｺM,ｳﾁﾀﾞﾉｻｲｺM,,,False
610408074,ウチダのサイシンＭ,ｳﾁﾀﾞﾉｻｲｼﾝM,ｳﾁﾀﾞﾉｻｲｼﾝM,,,False
610408075,ウチダのサフランＭ,ｳﾁﾀﾞﾉｻﾌﾗﾝM,ｳﾁﾀﾞﾉｻﾌﾗﾝM,,,False
610408076,ウチダのサンキライＭ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408077,ウチダのサンキライ末Ｍ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408078,ウチダのサンシュユＭ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408079,ウチダのサンショウＭ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408080,ウチダのサンショウ末Ｍ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408081,ウチダのサンシシＭ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408082,ウチダのサンシシ末Ｍ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408083,ウチダのサンヤクＭ,ｳﾁﾀﾞﾉ,ｳﾁﾀﾞﾉ,,,False
610408084,ウチダのシャクヤクＭ,ｳﾁﾀﾞﾉｼｬｸﾔｸM,ｳﾁﾀﾞﾉｼｬｸﾔｸM,,,False
610408085,ウチダのシャクヤク末Ｍ,ｳﾁﾀﾞﾉｼｬｸﾔｸﾏﾂM,ｳﾁﾀﾞﾉｼｬｸﾔｸﾏﾂM,,,False
610408086,ウチダのシャゼンシＭ,ｳﾁﾀﾞﾉｼｬｾﾞﾝｼM,ｳﾁﾀﾞﾉｼｬｾﾞﾝｼM,,,False
610408087,ウチダのシャゼンソウＭ,ｳﾁﾀﾞﾉｼｬｾﾞﾝｿｳM,ｳﾁﾀﾞﾉｼｬｾﾞﾝｿｳM,,,False
610408088,ウチダのシュクシャＭ,ｳﾁﾀﾞﾉｼｭｸｼｬM,ｳﾁﾀﾞﾉｼｭｸｼｬM,,,False
610408089,ウチダのシュクシャ末Ｍ,ｳﾁﾀﾞﾉｼｭｸｼｬﾏﾂM,ｳﾁﾀﾞﾉｼｭｸｼｬﾏﾂM,,,False
610408090,ウチダのショウキョウＭ,ｳﾁﾀﾞﾉｼｮｳｷｮｳM,ｳﾁﾀﾞﾉｼｮｳｷｮｳM,,,False
610408091,ウチダのショウキョウ末Ｍ,ｳﾁﾀﾞﾉｼｮｳｷｮｳﾏﾂM,ｳﾁﾀﾞﾉｼｮｳｷｮｳﾏﾂM,,,False
610408092,ウチダのショウマＭ,ｳﾁﾀﾞﾉｼｮｳﾏM,ｳﾁﾀﾞﾉｼｮｳﾏM,,,False
610408093,ウチダのショウズクＭ,ｳﾁﾀﾞﾉｼｮｳｽﾞｸM,ｳﾁﾀﾞﾉｼｮｳｽﾞｸM,,,False
610408094,ウチダのシコンＭ,ｳﾁﾀﾞﾉｼｺﾝM,ｳﾁﾀﾞﾉｼｺﾝM,,,False
610408095,ウチダのセッコウＭ,ｳﾁﾀﾞﾉｾｯｺｳM,ｳﾁﾀﾞﾉｾｯｺｳM,,,False
610408096,ウチダのセネガＭ,ｳﾁﾀﾞﾉｾﾈｶﾞM,ｳﾁﾀﾞﾉｾﾈｶﾞM,,,False
610408097,ウチダのセネガ末Ｍ,ｳﾁﾀﾞﾉｾﾈｶﾞﾏﾂM,ｳﾁﾀﾞﾉｾﾈｶﾞﾏﾂM,,,False
610408098,ウチダのセンキュウＭ,ｳﾁﾀﾞﾉｾﾝｷｭｳM,ｳﾁﾀﾞﾉｾﾝｷｭｳM,,,False
610408099,ウチダのセンキュウ末Ｍ,ｳﾁﾀﾞﾉｾﾝｷｭｳﾏﾂM,ｳﾁﾀﾞﾉｾﾝｷｭｳﾏﾂM,,,False
610408100,ウチダのセンコツＭ,ｳﾁﾀﾞﾉｾﾝｺﾂM,ｳﾁﾀﾞﾉｾﾝｺﾂM,,,False
610408101,ウチダのセンナＭ,ｳﾁﾀﾞﾉｾﾝﾅM,ｳﾁﾀﾞﾉｾﾝﾅM,,,False
610408102,ウチダのセンナ末Ｍ,ｳﾁﾀﾞﾉｾﾝﾅﾏﾂM,ｳﾁﾀﾞﾉｾﾝﾅﾏﾂM,,,False
610408103,ウチダのセンブリＭ,ｳﾁﾀﾞﾉｾﾝﾌﾞﾘM,ｳﾁﾀﾞﾉｾﾝﾌﾞﾘM,,,False
610408104,ウチダのセンブリ末Ｍ,ｳﾁﾀﾞﾉｾﾝﾌﾞﾘﾏﾂM,ｳﾁﾀﾞﾉｾﾝﾌﾞﾘﾏﾂM,,,False
610408105,ウチダのソウハクヒＭ,ｳﾁﾀﾞﾉｿｳﾊｸﾋM,ｳﾁﾀﾞﾉｿｳﾊｸﾋM,,,False
610408106,ウチダのソウジュツＭ,ｳﾁﾀﾞﾉｿｳｼﾞｭﾂM,ｳﾁﾀﾞﾉｿｳｼﾞｭﾂM,,,False
610408107,ウチダのソウジュツ末Ｍ,ｳﾁﾀﾞﾉｿｳｼﾞｭﾂﾏﾂM,ｳﾁﾀﾞﾉｿｳｼﾞｭﾂﾏﾂM,,,False
610408108,ウチダのソヨウＭ,ｳﾁﾀﾞﾉｿﾖｳM,ｳﾁﾀﾞﾉｿﾖｳM,,,False
610408109,ウチダのタイソウＭ,ｳﾁﾀﾞﾉﾀｲｿｳM,ｳﾁﾀﾞﾉﾀｲｿｳM,,,False
610408110,ウチダのタクシャＭ,ｳﾁﾀﾞﾉﾀｸｼｬM,ｳﾁﾀﾞﾉﾀｸｼｬM,,,False
610408111,ウチダのタクシャ末Ｍ,ｳﾁﾀﾞﾉﾀｸｼｬﾏﾂM,ｳﾁﾀﾞﾉﾀｸｼｬﾏﾂM,,,False
610408112,ウチダのチョウジＭ,ｳﾁﾀﾞﾉﾁｮｳｼﾞM,ｳﾁﾀﾞﾉﾁｮｳｼﾞM,,,False
610408113,ウチダのチョウジ末Ｍ,ｳﾁﾀﾞﾉﾁｮｳｼﾞﾏﾂM,ｳﾁﾀﾞﾉﾁｮｳｼﾞﾏﾂM,,,False
610408114,ウチダのチョレイＭ,ｳﾁﾀﾞﾉﾁｮﾚｲM,ｳﾁﾀﾞﾉﾁｮﾚｲM,,,False
610408115,ウチダのチクセツニンジンＭ,ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝM,ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝM,,,False
610408116,ウチダのチクセツニンジン末Ｍ,ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝﾏﾂM,ｳﾁﾀﾞﾉﾁｸｾﾂﾆﾝｼﾞﾝﾏﾂM,,,False
610408117,ウチダのチモＭ,ｳﾁﾀﾞﾉﾁﾓM,ｳﾁﾀﾞﾉﾁﾓM,,,False
610408118,ウチダのチンピＭ,ｳﾁﾀﾞﾉﾁﾝﾋﾟM,ｳﾁﾀﾞﾉﾁﾝﾋﾟM,,,False
610408119,ウチダのトウキＭ,ｳﾁﾀﾞﾉﾄｳｷM,ｳﾁﾀﾞﾉﾄｳｷM,,,False
610408120,ウチダのトウキ末Ｍ,ｳﾁﾀﾞﾉﾄｳｷﾏﾂM,ｳﾁﾀﾞﾉﾄｳｷﾏﾂM,,,False
610408121,ウチダのトウニンＭ,ｳﾁﾀﾞﾉﾄｳﾆﾝM,ｳﾁﾀﾞﾉﾄｳﾆﾝM,,,False
610408122,ウチダのトウヒＭ,ｳﾁﾀﾞﾉﾄｳﾋM,ｳﾁﾀﾞﾉﾄｳﾋM,,,False
610408123,ウチダのトウガラシＭ,ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼM,ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼM,,,False
610408124,ウチダのトウガラシ末Ｍ,ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼﾏﾂM,ｳﾁﾀﾞﾉﾄｳｶﾞﾗｼﾏﾂM,,,False
610408125,ウチダのニンジンＭ,ｳﾁﾀﾞﾉﾆﾝｼﾞﾝM,ｳﾁﾀﾞﾉﾆﾝｼﾞﾝM,,,False
610408126,ウチダのニガキＭ,ｳﾁﾀﾞﾉﾆｶﾞｷM,ｳﾁﾀﾞﾉﾆｶﾞｷM,,,False
610408127,ウチダのニガキ末Ｍ,ｳﾁﾀﾞﾉﾆｶﾞｷﾏﾂM,ｳﾁﾀﾞﾉﾆｶﾞｷﾏﾂM,,,False
610408128,ウチダのハッカＭ,ｳﾁﾀﾞﾉﾊｯｶM,ｳﾁﾀﾞﾉﾊｯｶM,,,False
610408129,ウチダのハマボウフウＭ,ｳﾁﾀﾞﾉﾊﾏﾎﾞｳﾌｳM,ｳﾁﾀﾞﾉﾊﾏﾎﾞｳﾌｳM,,,False
610408130,ウチダのハンゲＭ,ｳﾁﾀﾞﾉﾊﾝｹﾞM,ｳﾁﾀﾞﾉﾊﾝｹﾞM,,,False
610408131,ウチダのマオウＭ,ｳﾁﾀﾞﾉﾏｵｳM,ｳﾁﾀﾞﾉﾏｵｳM,,,False
610408132,ウチダのモッコウＭ,ｳﾁﾀﾞﾉﾓｯｺｳM,ｳﾁﾀﾞﾉﾓｯｺｳM,,,False
610408133,ウチダのモクツウＭ,ｳﾁﾀﾞﾉﾓｸﾂｳM,ｳﾁﾀﾞﾉﾓｸﾂｳM,,,False
610408134,ウチダのヤクチＭ,ｳﾁﾀﾞﾉﾔｸﾁM,ｳﾁﾀﾞﾉﾔｸﾁM,,,False
610408135,ウチダのヨクイニンＭ,ｳﾁﾀﾞﾉﾖｸｲﾆﾝM,ｳﾁﾀﾞﾉﾖｸｲﾆﾝM,,,False
610408136,ウチダのヨクイニン末Ｍ,ｳﾁﾀﾞﾉﾖｸｲﾆﾝﾏﾂM,ｳﾁﾀﾞﾉﾖｸｲﾆﾝﾏﾂM,,,False
610408137,ウチダのリュウコツＭ,ｳﾁﾀﾞﾉﾘｭｳｺﾂM,ｳﾁﾀﾞﾉﾘｭｳｺﾂM,,,False
610408138,ウチダのリュウタンＭ,ｳﾁﾀﾞﾉﾘｭｳﾀﾝM,ｳﾁﾀﾞﾉﾘｭｳﾀﾝM,,,False
610408139,ウチダのリュウタン末Ｍ,ｳﾁﾀﾞﾉﾘｭｳﾀﾝﾏﾂM,ｳﾁﾀﾞﾉﾘｭｳﾀﾝﾏﾂM,,,False
610408140,ウチダのレンギョウＭ,ｳﾁﾀﾞﾉﾚﾝｷﾞｮｳM,ｳﾁﾀﾞﾉﾚﾝｷﾞｮｳM,,,False
610408141,ウチダのガジュツＭ,ｳﾁﾀﾞﾉｶﾞｼﾞｭﾂM,ｳﾁﾀﾞﾉｶﾞｼﾞｭﾂM,,,False
610408142,ウチダのゲンチアナＭ,ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅM,ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅM,,,False
610408143,ウチダのゲンチアナ末Ｍ,ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅﾏﾂM,ｳﾁﾀﾞﾉｹﾞﾝﾁｱﾅﾏﾂM,,,False
610408144,ウチダのゲンノショウコＭ,ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺM,ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺM,,,False
610408145,ウチダのゲンノショウコ末Ｍ,ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺﾏﾂM,ｳﾁﾀﾞﾉｹﾞﾝﾉｼｮｳｺﾏﾂM,,,False
610408146,ウチダのゴシュユＭ,ｳﾁﾀﾞﾉｺﾞｼｭﾕM,ｳﾁﾀﾞﾉｺﾞｼｭﾕM,,,False
610408147,ウチダのゴシツＭ,ｳﾁﾀﾞﾉｺﾞｼﾂM,ｳﾁﾀﾞﾉｺﾞｼﾂM,,,False
610408148,ウチダのゴミシＭ,ｳﾁﾀﾞﾉｺﾞﾐｼM,ｳﾁﾀﾞﾉｺﾞﾐｼM,,,False
610408149,ウチダのジュウヤクＭ,ｳﾁﾀﾞﾉｼﾞｭｳﾔｸM,ｳﾁﾀﾞﾉｼﾞｭｳﾔｸM,,,False
610408150,ウチダのジオウＭ,ｳﾁﾀﾞﾉｼﾞｵｳM,ｳﾁﾀﾞﾉｼﾞｵｳM,,,False
610408151,ウチダのダイオウＭ,ｳﾁﾀﾞﾉﾀﾞｲｵｳM,ｳﾁﾀﾞﾉﾀﾞｲｵｳM,,,False
610408152,ウチダのダイオウ末Ｍ,ｳﾁﾀﾞﾉﾀﾞｲｵｳﾏﾂM,ｳﾁﾀﾞﾉﾀﾞｲｵｳﾏﾂM,,,False
610408153,ウチダのバクモンドウＭ,ｳﾁﾀﾞﾉﾊﾞｸﾓﾝﾄﾞｳM,ｳﾁﾀﾞﾉﾊﾞｸﾓﾝﾄﾞｳM,,,False
610408154,ウチダのビャクシＭ,ｳﾁﾀﾞﾉﾋﾞｬｸｼM,ｳﾁﾀﾞﾉﾋﾞｬｸｼM,,,False
610408155,ウチダのビャクジュツＭ,ｳﾁﾀﾞﾉﾋﾞｬｸｼﾞｭﾂM,ｳﾁﾀﾞﾉﾋﾞｬｸｼﾞｭﾂM,,,False
